Police
The state
Our government
Society
The system
The criminal justice system
The powers that be
Law enforcement
A law enforcement officer
Cops
A cop
A police officer
An officer
Our social order
Our nation
Enforcers
State enforcers
State authority
A state enforcer
Our societal agreements
Market forces
The American way of life
Capitalism
False scarcity
Domestic militarization
The gun lobby
Resource scarcity
The sanctity of property rights
Our tax dollars
The profit motive
Wealth disparity
