[35.3732921, -119.0187125]
[34.567428, -87.30161319999999]
[41.49932, -81.6943605]
[43.7068281, -116.6201357]
[36.6039938, -109.0603825]
[29.95106579999999, -90.0715323]
[34.568577, -96.2800864]
[43.193393, -78.06473869999999]
[39.5349663, -87.069919]
[39.9611755, -82.99879419999999]
[34.7391876, -112.0098791]
[38.1040864, -122.2566367]
[45.5230622, -122.6764815]
[40.7298207, -73.2103934]
[37.3541079, -121.9552356]
[43.7730448, -88.4470508]
[36.8354258, -76.2982742]
[37.3382082, -121.8863286]
[33.8839926, -84.51437609999999]
[33.8179432, -79.4492228]
[33.9891116, -118.2914872]
[33.5386523, -112.1859866]
[38.8108408, -94.9271868]
[33.7857948, -118.2643567]
[33.0369867, -117.2919818]
[27.4467056, -80.3256056]
[35.3732921, -119.0187125]
[42.05009099999999, -71.88006279999999]
[34.1975048, -119.1770516]
[39.5031465, -78.76862969999999]
[42.3600825, -71.0588801]
[39.05007, -83.05656789999999]
[37.7030646, -85.8649408]
[44.0520691, -123.0867536]
[35.9782216, -114.8345117]
[28.0507738, -82.4996398]
[29.7355047, -94.97742740000001]
[39.1137602, -76.7267773]
[33.9164032, -118.3525748]
[40.2115109, -74.6796651]
[41.5094771, -90.5787476]
[37.1511655, -88.73199790000001]
[36.1539816, -95.99277500000001]
[31.3224044, -92.4343035]
[39.1856597, -78.1633341]
[42.4461322, -87.83285049999999]
[32.8546197, -79.9748103]
[33.7879139, -117.8531007]
[35.0614358, -106.1914141]
[33.4483771, -112.0740373]
[35.1321877, -118.4489739]
[39.768403, -86.158068]
[29.9035387, -90.0772944]
[43.7640903, -112.2493671]
[35.275439, -97.0068393]
[29.4241219, -98.49362819999999]
[30.8327022, -83.2784851]
[34.0522342, -118.2436849]
[37.36883, -122.0363496]
[35.9436968, -96.2136136]
[30.4109342, -86.91232169999999]
[40.8678171, -86.8789044]
[39.8716058, -77.1735312]
[35.046508, -81.9817726]
[39.9276572, -122.1791556]
[39.0558235, -95.68901849999999]
[36.1398102, -96.108891]
[39.768403, -86.158068]
[35.4675602, -97.5164276]
[35.0154469, -78.5030622]
[38.8906038, -90.1842764]
[32.5896998, -96.8570738]
[35.84229670000001, -90.704279]
[25.7616798, -80.1917902]
[34.9495672, -81.9320482]
[29.7604267, -95.3698028]
[38.9517053, -92.3340724]
[38.4494063, -105.2253316]
[34.0775104, -117.6897776]
[35.5005139, -119.2717761]
[41.8781136, -87.6297982]
[33.7475203, -116.9719684]
[38.7192175, -90.26039030000001]
[33.4483771, -112.0740373]
[30.1588129, -85.6602058]
[37.8620226, -84.6616105]
[41.1448219, -102.9774497]
[26.2159066, -98.32529319999999]
[40.2170534, -74.7429384]
[47.1717649, -122.518458]
[34.0859829, -81.1831513]
[34.0522342, -118.2436849]
[36.8354258, -76.2982742]
[31.4481547, -109.9284084]
[40.7282239, -73.7948516]
[32.7554883, -97.3307658]
[39.9324862, -105.2769348]
[34.3058279, -118.4571974]
[34.1237158, -95.1441197]
[33.7700504, -118.1937395]
[38.5471327, -122.8163802]
[44.0520691, -123.0867536]
[36.8745146, -94.8774554]
[37.1694632, -104.5005407]
[28.8052674, -97.0035982]
[40.7127837, -74.0059413]
[28.5494447, -81.77285429999999]
[35.6826766, -94.7608801]
[36.0988489, -119.8815203]
[33.7090212, -117.9544069]
[42.331427, -83.0457538]
[40.75839, -82.5154471]
[29.95106579999999, -90.0715323]
[37.7306054, -88.9331256]
[35.052565, -97.93643259999999]
[33.4151843, -111.8314724]
[38.4087993, -121.3716178]
[33.7489954, -84.3879824]
[36.6859829, -77.5424809]
[36.1626638, -86.7816016]
[32.715738, -117.1610838]
[31.7618778, -106.4850217]
[39.2998339, -75.6046494]
[40.299403, -109.9887605]
[32.912624, -96.63888329999999]
[32.912624, -96.63888329999999]
[35.0853336, -106.6055534]
[37.3478702, -83.3562912]
[46.2112458, -119.1372338]
[33.9850469, -118.4694832]
[34.0519548, -118.0467339]
[37.0478982, -80.7797935]
[35.9798734, -78.50972279999999]
[33.9562149, -83.9879625]
[41.5048158, -73.9695832]
[33.8583483, -118.0647871]
[33.0570085, -110.9106656]
[43.2644105, -75.94632399999999]
[29.9035387, -90.0772944]
[45.0860765, -93.2632821]
[47.2528768, -122.4442906]
[38.9340002, -76.8966397]
[32.7554883, -97.3307658]
[29.9012437, -81.31243409999999]
[30.3321838, -81.65565099999999]
[21.3069444, -157.8583333]
[33.640171, -117.602832]
[42.2011538, -85.5800022]
[29.9012437, -81.31243409999999]
[42.2711311, -89.0939952]
[38.5815719, -121.4943996]
[41.6100344, -87.6467131]
[32.715738, -117.1610838]
[27.7518284, -82.6267345]
[33.3672525, -105.6588485]
[38.8816208, -77.09098089999999]
[34.974532, -92.0165336]
[39.0638705, -108.5506486]
[40.0378755, -76.3055144]
[40.9458898, -81.4831714]
[37.7719074, -87.1111676]
[44.2910915, -105.5022205]
[41.2523634, -95.99798829999999]
[31.7618778, -106.4850217]
[26.1224386, -80.13731740000001]
[32.8546197, -79.9748103]
[40.8859325, -74.0434736]
[32.7764749, -79.93105120000001]
[40.008411, -79.0780831]
[42.331427, -83.0457538]
[38.7044609, -93.2282613]
[34.1111581, -109.291475]
[30.267153, -97.7430608]
[34.7303688, -86.5861037]
[47.91287560000001, -122.0981847]
[40.7282239, -73.7948516]
[32.5159852, -93.7321228]
[40.4447818, -74.11188349999999]
[35.6528323, -97.47809540000002]
[33.3276362, -83.2187677]
[33.7700504, -118.1937395]
[32.8350521, -116.7664109]
[34.7204257, -80.7709014]
[39.8961821, -104.9811468]
[33.5801103, -85.0766113]
[42.1394858, -83.1782587]
[40.81201710000001, -74.1243063]
[35.6795873, -95.9832577]
[42.382338, -123.4670077]
[34.7391876, -112.0098791]
[36.1626638, -86.7816016]
[42.3265152, -122.8755949]
[31.7621153, -95.6307891]
[43.2097837, -77.6930602]
[42.2832142, -71.1270268]
[32.8951262, -97.5458565]
[35.7688425, -119.2470536]
[34.806166, -106.7333599]
[32.2619765, -96.83509989999999]
[30.4471514, -94.73631519999999]
[40.9601024, -74.7227291]
[34.9530337, -120.4357191]
[39.629526, -79.95589679999999]
